Date,Gender,Race,Age at Booking,Current Age
2016-08-01,M,B,41,42
2016-08-01,M,B,29,32
2016-08-01,M,B,25,28
2016-08-01,M,B,21,22
2016-08-01,M,B,45,47
2016-08-01,M,B,42,43
2016-08-01,M,W,20,21
2016-08-01,M,B,23,24
2016-08-01,M,B,18,19
2016-08-01,M,W,24,24
2016-08-01,M,B,38,39
2016-08-01,M,B,36,37
2016-08-01,M,W,53,54
2016-08-01,M,B,28,28
2016-08-01,M,B,25,26
2016-08-01,M,B,43,43
2016-08-01,M,B,22,22
2016-08-01,M,B,26,26
2016-08-01,M,B,21,21
2016-08-01,M,B,25,26
2016-08-01,M,B,23,24
2016-08-01,M,B,21,21
2016-08-01,M,B,21,22
2016-08-01,M,B,26,27
2016-08-01,M,W,43,44
2016-08-01,M,W,29,30
2016-08-01,M,B,51,52
2016-08-01,M,B,28,28
2016-08-01,M,B,29,29
2016-08-01,M,W,36,37
2016-08-01,M,B,25,26
2016-08-01,M,W,33,34
2016-08-01,M,B,21,22
2016-08-01,M,B,34,34
2016-08-01,M,B,28,29
2016-08-01,M,B,27,27
2016-08-01,M,B,21,21
2016-08-01,M,W,37,38
2016-08-01,M,B,23,24
2016-08-01,M,W,45,45
2016-08-01,M,W,27,28
2016-08-01,M,B,26,27
2016-08-01,M,W,45,45
2016-08-01,M,B,22,23
2016-08-01,M,W,27,27
2016-08-01,M,B,24,24
2016-08-01,M,B,21,21
2016-08-01,M,B,27,27
2016-08-01,M,W,43,43
2016-08-01,M,W,43,43
2016-08-01,M,B,28,29
2016-08-01,M,W,51,51
2016-08-01,M,W,21,21
2016-08-01,M,B,26,26
2016-08-01,M,W,24,24
2016-08-01,M,W,29,29
2016-08-01,M,W,29,29
2016-08-01,M,W,45,45
2016-08-01,M,B,52,52
2016-08-01,M,B,34,34
2016-08-01,M,B,35,35
2016-08-01,M,B,32,32
2016-08-01,M,B,21,22
2016-08-01,M,B,45,45
2016-08-01,M,B,51,52
2016-08-01,M,B,43,44
2016-08-01,M,B,42,42
2016-08-01,M,W,31,31
2016-08-01,M,B,28,28
2016-08-01,M,W,44,45
2016-08-01,M,W,30,30
2016-08-01,M,B,27,27
2016-08-01,M,B,25,25
2016-08-01,M,W,32,32
2016-08-01,M,W,36,36
2016-08-01,M,B,47,47
2016-08-01,M,W,44,44
2016-08-01,M,W,29,30
2016-08-01,M,B,46,46
2016-08-01,M,W,33,34
2016-08-01,M,W,49,49
2016-08-01,M,W,37,37
2016-08-01,M,W,24,24
2016-08-01,M,W,32,32
2016-08-01,M,W,29,30
2016-08-01,M,B,31,31
2016-08-01,M,B,47,47
2016-08-01,M,W,32,33
2016-08-01,M,B,28,28
2016-08-01,M,B,30,30
2016-08-01,M,B,31,31
2016-08-01,M,B,46,46
2016-08-01,M,W,32,32
2016-08-01,M,W,31,31
2016-08-01,M,W,36,36
2016-08-01,M,B,26,26
2016-08-01,M,W,48,48
2016-08-01,M,B,31,31
2016-08-01,M,W,23,23
2016-08-01,M,B,19,21
2016-08-01,M,B,29,31
2016-08-01,M,W,30,31
2016-08-01,M,B,19,21
2016-08-01,M,B,31,32
2016-08-01,M,B,30,31
2016-08-01,M,B,24,25
2016-08-01,M,B,33,34
2016-08-01,M,B,23,24
