Date,Gender,Race,Age at Booking,Current Age
9/1/2015,M,W,28,29
9/1/2015,M,B,22,22
9/1/2015,F,W,37,37
9/1/2015,M,A,33,34
9/1/2015,M,B,22,24
9/2/2015,M,B,29,30
9/2/2015,M,B,29,30
9/2/2015,M,B,19,20
9/3/2015,M,W,26,27
9/3/2015,M,B,20,21
9/3/2015,M,B,24,25
9/3/2015,M,W,28,29
9/3/2015,M,H,33,34
9/4/2015,M,B,25,25
9/4/2015,M,B,22,24
9/4/2015,F,H,24,25
9/4/2015,F,W,34,35
9/5/2015,M,B,24,24
9/5/2015,M,B,34,34
9/5/2015,M,W,18,18
9/5/2015,M,A,21,21
9/5/2015,M,B,43,43
9/5/2015,F,W,36,37
